iter anc pos neg
175 56441_0 56441_1 33445_0
176 51609_0 51609_1 98700_0
177 6508_0 6508_1 8436_0
178 2335_0 2335_1 66435_0
179 83339_0 83339_1 91822_0
180 73765_0 73765_1 34822_0
181 1598_0 1598_1 49123_0
182 382_0 367_0 16084_0
183 92595_0 92595_1 86179_0
184 95512_0 95512_1 52328_0
185 60151_0 60151_1 97733_0
186 66858_0 66858_1 84963_0
187 409_0 426_5 20205_1
188 285_0 287_0 63264_0
189 34405_0 34405_1 14931_0
190 44559_0 44559_1 96739_0
191 422_3 405_3 50625_0
192 974_0 974_1 20748_0
193 19783_0 19783_1 79076_0
194 28899_0 28899_1 87895_0
195 270_0 287_0 49524_0
196 75916_0 75916_1 93991_0
197 62280_0 62280_1 97234_0
198 52709_0 52709_1 19235_0
199 4865_0 4865_1 63112_0
200 7798_0 7798_1 43544_0
201 48999_0 48999_1 100284_0
202 216_0 228_0 27658_0
203 92381_0 92381_1 70257_0
204 35477_0 35477_1 839_0
205 51254_0 51254_1 54897_0
206 114_0 100_0 19096_0
207 35598_0 35598_1 46508_0
208 33097_0 33097_1 57366_0
209 87291_0 87291_1 29076_0
210 41609_0 41609_1 77105_0
211 91050_0 91050_1 45558_0
212 84191_0 84191_1 87603_0
213 95195_0 95195_1 1092_0
214 6706_0 6706_1 43883_0
215 94304_0 94304_1 25280_0
216 62876_0 62876_1 69532_0
217 279_1 288_1 36745_0
218 89177_0 89177_1 23809_0
219 91402_0 91402_1 27030_0
220 416_1 412_1 88595_1
221 425_1 412_2 51474_0
222 93004_0 93004_1 94868_0
223 35630_0 35630_1 46200_0
224 17991_0 17991_1 4701_0
225 24212_0 24212_1 73830_0
226 87306_0 87306_1 49607_0
227 26937_0 26937_1 80057_0
228 167_1 177_0 69511_0
229 19381_0 19381_1 34466_0
230 90216_0 90216_1 616_0
231 268_0 274_0 87072_0
232 23097_0 23097_1 79011_1
233 71552_0 71552_1 68194_0
234 82187_0 82187_1 24935_0
235 65_1 70_0 46786_0
236 220_0 216_1 24714_0
237 74281_0 74281_1 88521_0
238 63031_0 63031_1 45239_0
239 13436_0 13436_1 58300_0
240 408_1 425_2 69320_0
241 65218_0 65218_1 80857_0
242 16430_0 16430_1 73071_0
243 166_1 173_0 8386_0
244 257_0 230_0 26500_0
245 50095_0 50095_1 49748_0
246 4033_0 4033_1 79239_0
247 33408_0 33408_1 63076_0
248 414_2 421_1 11278_0
249 10606_0 10606_1 18287_0
250 90574_0 90574_1 97225_0
251 44009_0 44009_1 11934_0
252 47407_0 47407_1 22972_0
253 81079_0 81079_1 6230_0
254 55595_0 55595_1 57030_0
255 51077_0 51077_1 79765_0
256 20318_0 20318_1 43784_0
257 45953_0 45953_1 25515_0
258 104_0 114_1 86312_0
259 54081_0 54081_1 56463_0
260 8340_0 8340_1 28534_0
261 412_3 430_1 88595_2
262 16993_0 16993_1 9663_0
263 61914_0 61914_1 84519_0
264 56483_0 56483_1 46977_0
265 243_0 246_0 73574_0
266 38618_0 38618_1 34333_0
267 100134_0 100134_1 67751_0
268 13726_0 13726_1 39701_0
269 49676_0 49676_1 58425_0
270 73441_0 73441_1 71080_0
271 412_4 407_2 86155_1
272 56228_0 56228_1 68261_0
273 55376_0 55376_1 62675_0
274 87792_0 87792_1 81367_0
275 59202_0 59202_1 4122_0
276 273_1 281_3 25609_0
277 9983_0 9983_1 17179_0
278 69361_0 69361_1 56716_0
279 28336_0 28336_1 6434_0
280 6275_0 6275_1 54209_0
281 63419_0 63419_1 72654_0
282 52718_0 52718_1 45694_0
283 167_2 150_0 94112_2
284 83_1 66_0 77792_0
285 92585_0 92585_1 9689_0
286 421_2 416_2 32724_0
287 2981_0 2981_1 28094_0
288 166_2 155_0 94112_3
289 294_0 300_0 61349_0
290 11199_0 11199_1 97477_0
291 36749_0 36749_1 79628_0
292 83591_0 83591_1 68447_0
293 1136_0 1136_1 53592_0
294 4539_0 4539_1 51469_0
295 29759_0 29759_1 4774_0
296 28413_0 28413_1 46590_0
297 314_0 310_1 85441_0
298 60516_0 60516_1 81076_0
299 58491_0 58491_1 46207_0
300 71531_0 71531_1 33367_0
301 52296_0 52296_1 96738_0
302 61612_0 61612_1 24873_0
303 519_1 526_1 30445_0
304 75790_0 75790_1 91158_0
305 44197_0 44197_1 60337_0
306 61327_0 61327_1 26295_0
307 10809_0 10809_1 13315_0
308 81359_0 81359_1 39137_0
309 1061_0 1061_1 96767_0
310 114_2 102_0 2330_0
311 268_1 288_2 63144_0
312 65836_0 65836_1 47730_0
313 27385_0 27385_1 30877_0
314 19211_0 19211_1 9780_0
315 81737_0 81737_1 27832_0
316 97057_0 97057_1 73852_0
317 84369_0 84369_1 23561_0
318 383_0 382_1 94184_0
319 46709_0 46709_1 26142_0
320 36984_0 36984_1 1539_0
321 50009_0 50009_1 94453_0
322 407_3 426_6 45855_0
323 56880_0 56880_1 11025_0
324 23011_0 23011_1 61329_0
325 86560_0 86560_1 24257_0
326 279_2 267_0 37236_0
327 42319_0 42319_1 1361_0
328 97315_0 97315_1 91157_0
329 87400_0 87400_1 68093_0
330 20262_0 20262_1 12579_0
331 42180_0 42180_1 7269_0
332 250_0 233_0 23214_0
333 37930_0 37930_1 79521_0
334 28168_0 28168_1 58604_0
335 171_1 173_1 63825_0
336 31461_0 31461_1 25874_0
337 94424_0 94424_1 44238_0
338 7389_0 7389_1 9008_0
339 51419_0 51419_1 28311_0
340 86539_0 86539_1 48159_0
341 38539_0 38539_1 39768_0
342 6155_0 6155_1 52677_0
343 61818_0 61818_1 55478_0
344 83885_0 83885_1 2122_0
345 79609_0 79609_1 15805_0
346 33106_0 33106_1 59758_0
347 81645_0 81645_1 36284_0
348 31027_0 31027_1 26700_0
349 48386_0 48386_1 89957_0
350 226_0 228_1 40586_0
351 8401_0 8401_1 60099_0
352 411_1 415_1 51872_0
353 61166_0 61166_1 79627_0
354 3015_0 3015_1 82494_0
355 17834_0 17834_1 48004_0
356 52_0 42_0 40827_0
357 300_1 307_2 52358_0
358 65422_0 65422_1 47240_0
359 455_0 452_1 13429_0
360 12902_0 12902_1 7972_0
361 304_0 314_1 8292_0
362 166_3 150_1 94112_4
363 62079_0 62079_1 61094_0
364 412_5 415_2 88595_1
365 153_0 166_4 94112_5
366 34723_0 34723_1 88581_0
367 350_0 358_0 61128_0
368 18812_0 18812_1 7920_0
369 55934_0 55934_1 77438_0
370 59058_0 59058_1 87914_0
371 407_4 414_3 79815_0
372 67943_0 67943_1 52320_0
373 93553_0 93553_1 21774_0
374 81116_0 81116_1 66437_0
375 281_4 285_1 64391_0
376 84213_0 84213_1 83045_0
377 187_0 193_0 1283_0
378 24173_0 24173_1 36797_0
379 17751_0 17751_1 95923_0
380 421_3 411_2 32443_0
381 33555_0 33555_1 29491_0
382 350_1 352_1 55903_0
383 100091_0 100091_1 73827_0
384 72933_0 72933_1 54709_0
385 22185_0 22185_1 38164_0
386 98918_0 98918_1 37591_0
387 61792_0 61792_1 62538_0
388 25300_0 25300_1 45713_0
389 60260_0 60260_1 39401_0
390 34777_0 34777_1 76604_0
391 55146_0 55146_1 78224_0
392 30093_0 30093_1 17704_0
393 77915_0 77915_1 6662_0
394 40308_0 40308_1 90435_0
395 224_0 215_0 91616_1
396 16305_0 16305_1 95434_0
397 61284_0 61284_1 38515_0
398 25740_0 25740_1 10860_0
399 305_1 304_1 52770_0
400 42837_0 42837_1 86947_0
401 99036_0 99036_1 31482_0
402 77868_0 77868_1 39425_0
403 25264_0 25264_1 43456_0
404 31153_0 31153_1 4687_0
405 28155_0 28155_1 10463_0
406 93376_0 93376_1 568_0
407 48_0 37_2 38934_0
408 76791_0 76791_1 46960_0
409 408_2 432_1 70159_0
410 91980_0 91980_1 8824_0
411 8953_0 8953_1 49850_0
412 53084_0 53084_1 17897_0
413 93186_0 93186_1 50803_0
414 358_1 352_2 18975_0
415 14212_0 14212_1 94295_0
416 67626_0 67626_1 40601_0
417 3485_0 3485_1 65671_0
418 303_0 304_2 55081_0
419 48819_0 48819_1 60466_0
420 36064_0 36064_1 51069_0
421 6516_0 6516_1 8422_0
422 5495_0 5495_1 57258_0
423 27400_0 27400_1 31270_0
424 69533_0 69533_1 99640_0
425 6891_0 6891_1 97362_0
426 26623_0 26623_1 17463_0
427 59606_0 59606_1 18529_0
428 81160_0 81160_1 71751_0
429 65365_0 65365_1 62081_0
430 64306_0 64306_1 14059_0
431 311_0 291_1 8208_0
432 311_1 304_3 55603_0
433 5424_0 5424_1 85381_0
434 23335_0 23335_1 68386_0
435 36544_0 36544_1 2501_0
436 91173_0 91173_1 100078_0
437 153_1 158_1 94112_6
438 80505_0 80505_1 55163_0
439 45657_0 45657_1 71909_0
440 88444_0 88444_1 59843_0
441 168_0 165_0 94683_0
442 11293_0 11293_1 97525_0
443 56621_0 56621_1 67430_0
444 65785_0 65785_1 68045_0
445 80770_0 80770_1 67148_0
446 93920_0 93920_1 27655_0
447 29353_0 29353_1 92158_0
448 16403_0 16403_1 4178_0
449 269_2 284_0 64501_0
450 280_0 278_2 45851_0
451 43622_0 43622_1 91585_0
452 422_4 430_2 6288_0
453 26515_0 26515_1 44639_0
454 74764_0 74764_1 89377_0
455 46378_0 46378_1 43549_0
456 93574_0 93574_1 20270_0
457 434_0 418_1 61351_0
458 4310_0 4310_1 52906_0
459 49_0 37_3 76377_0
460 55615_0 55615_1 21511_0
461 27542_0 27542_1 45899_0
462 11232_0 11232_1 61747_0
463 96157_0 96157_1 87127_0
464 98245_0 98245_1 33536_0
465 72204_0 72204_1 95550_0
466 22066_0 22066_1 30737_0
467 13500_0 13500_1 91529_0
468 80_0 83_2 30301_0
469 82953_0 82953_1 95043_0
470 83061_0 83061_1 75927_0
471 88137_0 88137_1 24481_0
472 26209_0 26209_1 73215_0
473 51721_0 51721_1 13569_0
474 73020_0 73020_1 24186_0
475 98994_0 98994_1 19840_0
476 82_0 79_0 60344_0
477 108_0 114_0 78044_0
478 745_0 745_1 1949_0
479 64_1 45_0 74076_0
480 2994_0 2994_1 31542_0
481 454_0 460_1 71936_0
482 6660_0 6660_1 97146_0
483 171_2 150_2 78141_0
484 40173_0 40173_1 7574_0
485 428_2 432_2 44665_0
486 84142_0 84142_1 49778_0
487 6001_0 6001_1 7522_0
488 22889_0 22889_1 88702_0
489 55382_0 55382_1 46504_0
490 36698_0 36698_1 100007_0
491 43094_0 43094_1 30215_0
492 95044_0 95044_1 99916_0
493 58378_0 58378_1 86365_0
494 92859_0 92859_1 2714_0
495 7256_0 7256_1 93861_0
496 263_1 233_1 32114_0
497 46949_0 46949_1 23743_0
498 71823_0 71823_1 17510_0
499 27364_0 27364_1 21491_0
500 68471_0 68471_1 18748_0
501 73409_0 73409_1 93275_0
502 300_2 312_0 52770_1
503 82026_0 82026_1 63987_0
504 68254_0 68254_1 1662_0
505 412_6 417_0 88595_2
506 65223_0 65223_1 86247_0
507 23447_0 23447_1 70706_0
508 82263_0 82263_1 35957_0
509 335_0 352_1 96179_0
510 422_5 412_6 60470_0
511 69914_0 69914_1 92587_0
512 279_3 286_1 82596_0
513 268_2 285_2 67862_0
514 163_2 167_3 69511_1
515 3493_0 3493_1 96619_0
516 37648_0 37648_1 33328_0
517 36414_0 36414_1 16617_0
518 20341_0 20341_1 94279_0
519 85847_0 85847_1 33705_0
520 286_2 274_1 10160_0
521 37617_0 37617_1 82949_0
522 71092_0 71092_1 29618_0
523 9834_0 9834_1 75149_0
524 225_0 215_1 82087_0
525 268_3 287_1 16770_0
526 15081_0 15081_1 8284_0
527 70248_0 70248_1 5183_0
528 81360_0 81360_1 63041_0
529 89238_0 89238_1 26909_0
530 76514_0 76514_1 89631_0
531 225_1 226_1 94263_0
532 48085_0 48085_1 96076_0
533 5756_0 5756_1 30740_0
534 266_0 276_1 35940_0
535 66965_0 66965_1 43447_0
536 266_1 278_3 43515_0
537 202_0 207_0 78024_0
538 89934_0 89934_1 84754_0
539 300_3 314_2 52770_2
540 81283_0 81283_1 31824_0
541 11798_0 11798_1 14554_0
542 54880_0 54880_1 60936_0
543 72_1 78_0 91708_0
544 37439_0 37439_1 16822_0
545 426_7 406_0 20205_2
546 53943_0 53943_1 90804_0
547 82546_0 82546_1 75211_0
548 413_0 414_1 46016_0
549 39_1 29_0 66536_0
550 289_0 278_2 15815_0
551 16256_0 16256_1 13541_0
552 66024_0 66024_1 62490_0
553 154_0 179_1 94112_7
554 64473_0 64473_1 87951_0
555 38806_0 38806_1 38579_0
556 88506_0 88506_1 67371_0
557 92513_0 92513_1 23769_0
558 131_0 125_0 96629_0
559 55404_0 55404_1 79009_0
560 89052_0 89052_1 993_0
561 286_3 278_3 14166_0
562 5015_0 5015_1 66716_0
563 46482_0 46482_1 15290_0
564 85478_0 85478_1 84628_0
565 34_0 29_1 2079_0
566 96371_0 96371_1 70992_0
567 303_1 314_3 59041_0
568 97790_0 97790_1 62757_0
569 59433_0 59433_1 23835_0
570 1616_0 1616_1 64225_0
571 13968_0 13968_1 48596_0
572 25898_0 25898_1 12517_0
573 43774_0 43774_1 89312_0
574 87708_0 87708_1 79085_0
575 29677_0 29677_1 11894_0
576 78952_0 78952_1 62890_0
577 432_3 420_0 16891_0
578 48135_0 48135_1 70895_0
579 287_0 286_4 12582_0
580 248_0 233_2 32114_1
581 411_3 425_3 86151_0
582 88170_0 88170_1 87626_0
583 30991_0 30991_1 92254_0
584 270_1 268_4 63264_1
585 95387_0 95387_1 67258_0
586 34564_0 34564_1 64901_0
587 280_1 287_1 39966_0
588 150_3 154_1 94112_8
589 49014_0 49014_1 75859_0
590 58186_0 58186_1 34908_0
591 281_5 276_2 64391_1
592 32133_0 32133_1 2679_0
593 215_2 216_2 18498_0
594 418_2 422_6 69000_0
595 79768_0 79768_1 72109_0
596 4615_0 4615_1 79816_0
597 91745_0 91745_1 53657_0
598 80568_0 80568_1 73282_0
599 74661_0 74661_1 17920_0
600 89842_0 89842_1 6015_0
601 85953_0 85953_1 1009_0
602 28273_0 28273_1 67988_0
603 70_1 80_1 54531_0
604 120_0 131_1 89708_0
605 77756_0 77756_1 85817_0
606 427_0 414_2 6388_0
607 92592_0 92592_1 26223_0
608 61134_0 61134_1 73233_0
609 5743_0 5743_1 82544_0
610 26297_0 26297_1 41148_0
611 51588_0 51588_1 82674_0
612 9938_0 9938_1 20577_0
613 21096_0 21096_1 22426_0
614 84871_0 84871_1 33559_0
615 30132_0 30132_1 27675_0
616 416_3 414_3 51751_0
617 412_7 432_4 97352_0
618 174_0 179_2 94112_9
619 27081_0 27081_1 32319_0
620 25937_0 25937_1 41022_0
621 53351_0 53351_1 54263_0
622 79923_0 79923_1 3775_0
623 15536_0 15536_1 44273_0
624 23283_0 23283_1 42149_0
625 36647_0 36647_1 60203_0
626 70504_0 70504_1 669_0
627 88282_0 88282_1 76557_0
628 51820_0 51820_1 48619_0
629 95911_0 95911_1 73395_0
630 8302_0 8302_1 88417_0
631 426_8 427_1 93210_1
632 17591_0 17591_1 38522_0
633 94041_0 94041_1 56919_0
634 56980_0 56980_1 95605_0
635 6965_0 6965_1 95409_0
636 98088_0 98088_1 90560_0
637 276_3 278_4 84353_0
638 41126_0 41126_1 74834_0
639 40705_0 40705_1 51377_0
640 66119_0 66119_1 73993_0
641 290_0 268_5 66848_0
642 30583_0 30583_1 82898_0
643 28577_0 28577_1 72330_0
644 37849_0 37849_1 52903_0
645 12580_0 12580_1 29105_0
646 49085_0 49085_1 74610_0
647 55407_0 55407_1 743_0
648 75475_0 75475_1 32503_0
649 13320_0 13320_1 40108_1
650 61940_0 61940_1 84641_0
651 99110_0 99110_1 67114_0
652 59632_0 59632_1 9595_0
653 79899_0 79899_1 80221_0
654 4970_0 4970_1 6451_0
655 85397_0 85397_1 585_0
656 243_1 254_1 73574_1
657 27190_0 27190_1 2766_0
658 271_0 276_4 56413_0
659 415_3 426_5 99213_0
660 27837_0 27837_1 62952_0
661 43412_0 43412_1 77269_0
662 71466_0 71466_1 66674_0
663 26337_0 26337_1 40719_0
664 39_2 64_2 97625_0
665 46330_0 46330_1 44639_1
666 271_1 278_5 643_0
667 94766_0 94766_1 53390_0
668 23032_0 23032_1 87335_0
669 30515_0 30515_1 23879_0
670 94909_0 94909_1 74530_0
671 184_0 151_0 31678_0
672 67084_0 67084_1 99073_0
673 22279_0 22279_1 80105_0
674 84223_0 84223_1 60415_0
675 27131_0 27131_1 26711_0
676 49995_0 49995_1 83561_0
677 19746_0 19746_1 33235_0
678 88914_0 88914_1 27515_0
679 387_0 373_0 69436_0
680 99237_0 99237_1 82465_0
681 67282_0 67282_1 57568_0
682 9164_0 9164_1 43658_0
683 78014_0 78014_1 65308_0
684 70_2 76_1 61080_0
685 75961_0 75961_1 92723_0
686 85116_0 85116_1 20230_0
687 55701_0 55701_1 82794_0
688 279_0 285_3 643_1
689 96978_0 96978_1 42130_0
690 452_2 459_0 55191_0
691 91825_0 91825_1 62187_0
692 68979_0 68979_1 84183_0
693 23571_0 23571_1 73846_0
694 302_0 300_4 73627_0
695 20328_0 20328_1 61321_0
696 154_2 169_2 55944_0
697 40018_0 40018_1 88735_0
698 38730_0 38730_1 79986_0
699 56_3 52_1 27741_0
700 90159_0 90159_1 85947_0
701 36822_0 36822_1 99693_0
702 421_4 427_2 32724_1
703 268_6 271_2 46933_0
704 281_6 267_1 33338_0
705 68804_0 68804_1 75312_0
706 75675_0 75675_1 44661_0
707 83288_0 83288_1 37504_0
708 867_0 867_1 38814_0
709 7158_0 7158_1 67709_0
710 10300_0 10300_1 12088_0
711 43869_0 43869_1 55245_0
712 43835_0 43835_1 84468_0
713 279_1 271_3 38794_0
714 99831_0 99831_1 24116_0
715 271_4 286_5 643_2
716 280_2 276_5 60978_0
717 27198_0 27198_1 100146_0
718 68194_1 68194_2 79099_0
719 414_3 428_0 74506_0
720 29249_0 29249_1 49755_0
721 28660_0 28660_1 49244_0
722 99478_0 99478_1 10523_0
723 96046_0 96046_1 56604_0
724 33524_0 33524_1 95225_0
725 40280_0 40280_1 84996_0
726 97161_0 97161_1 17835_0
727 287_0 269_3 37236_1
728 8293_0 8293_1 60985_0
729 287_0 278_6 24358_0
730 87433_0 87433_1 92917_0
731 59364_0 59364_1 98808_0
732 37892_0 37892_1 79155_0
733 12440_0 12440_1 47141_0
734 33959_0 33959_1 22862_0
735 92412_0 92412_1 42654_0
736 289_1 268_7 24524_0
737 337_0 352_2 24401_0
738 79764_0 79764_1 99484_0
739 64245_0 64245_1 17656_0
740 4547_0 4547_1 6383_0
741 84843_0 84843_1 9537_0
742 91696_0 91696_1 28838_0
743 72960_0 72960_1 19499_0
744 41249_0 41249_1 63435_0
745 71514_0 71514_1 23747_0
746 92247_0 92247_1 1618_0
747 34067_0 34067_1 30887_0
748 250_1 254_2 96341_0
749 426_6 403_1 20205_0
750 64863_0 64863_1 42461_0
751 426_7 420_1 88595_1
752 266_2 268_8 46933_1
753 88869_0 88869_1 32712_0
754 274_2 284_1 64501_1
755 66183_0 66183_1 48880_0
756 10021_0 10021_1 33345_0
757 314_4 309_0 66963_0
758 95922_0 95922_1 48485_0
759 85769_0 85769_1 22441_0
760 352_3 333_0 54082_0
761 414_0 406_1 17225_0
762 304_4 302_1 98956_0
763 179_3 184_1 94112_10
764 64721_0 64721_1 89933_0
765 51461_0 51461_1 4315_0
766 31072_0 31072_1 21211_0
767 47321_0 47321_1 24809_0
768 42959_0 42959_1 67540_0
769 42302_0 42302_1 86111_0
770 10403_0 10403_1 93147_0
771 58882_0 58882_1 1992_0
772 14571_0 14571_1 12540_0
773 69923_0 69923_1 59347_0
774 84355_0 84355_1 82846_0
775 80136_0 80136_1 93444_1
776 28686_0 28686_1 81831_0
777 59124_0 59124_1 64775_0
778 4483_0 4483_1 54256_0
779 28929_0 28929_1 22343_0
780 53395_0 53395_1 58243_0
781 69273_0 69273_1 84512_0
782 71748_0 71748_1 53536_0
783 49144_0 49144_1 47354_0
784 56264_0 56264_1 29271_0
785 44491_0 44491_1 61451_0
786 37_4 43_0 11852_0
787 64179_0 64179_1 64343_0
788 287_1 276_6 65460_0
789 158_2 161_0 16367_0
790 68062_0 68062_1 41130_0
791 16676_0 16676_1 49944_0
792 434_1 426_8 20205_1
793 420_2 411_4 15402_0
794 177_1 150_4 69511_2
795 14379_0 14379_1 26107_0
796 8410_0 8410_1 36495_0
797 281_4 289_2 22114_0
798 158_3 179_4 28592_0
799 19303_0 19303_1 54455_0
800 1599_0 1599_1 63909_0
801 31817_0 31817_1 78237_0
802 65557_0 65557_1 53841_0
803 1584_0 1584_1 44302_0
804 81413_0 81413_1 74770_0
805 73772_0 73772_1 78199_0
806 64311_0 64311_1 47611_0
807 28720_0 28720_1 79596_0
808 27939_0 27939_1 19803_0
809 51089_0 51089_1 7618_0
810 21896_0 21896_1 54935_0
811 86072_0 86072_1 57047_0
812 44581_0 44581_1 37803_0
813 88123_0 88123_1 51374_0
814 21020_0 21020_1 11001_0
815 8586_0 8586_1 52020_0
816 527_1 519_2 89192_0
817 72498_0 72498_1 29504_0
818 60583_0 60583_1 96689_0
819 233_3 257_1 32114_2
820 40683_0 40683_1 23605_0
821 93726_0 93726_1 90889_0
822 510_0 508_0 24009_0
823 415_4 425_0 32724_2
824 63562_0 63562_1 92901_0
825 52971_0 52971_1 94850_0
826 28988_0 28988_1 3585_0
827 44290_0 44290_1 2031_0
828 85005_0 85005_1 88327_0
829 89419_0 89419_1 48220_0
830 351_0 352_4 24463_1
831 312_1 291_2 8208_1
832 15652_0 15652_1 90253_0
833 60336_0 60336_1 25561_0
834 21901_0 21901_1 39295_0
835 292_1 300_5 21728_0
836 78_1 80_2 77571_0
837 45_1 37_5 75526_0
838 3371_0 3371_1 21052_0
839 66834_0 66834_1 55072_0
840 2270_0 2270_1 21094_0
841 58640_0 58640_1 88314_0
842 58739_0 58739_1 66448_0
843 56373_0 56373_1 31093_0
844 434_2 432_5 10382_0
845 77258_0 77258_1 96253_0
846 71684_0 71684_1 14922_0
847 14634_0 14634_1 66789_0
848 42546_0 42546_1 63353_0
